date,state,cases,deaths
1/21/20,Washington,1,0
1/22/20,Washington,1,0
1/23/20,Washington,1,0
1/24/20,Illinois,1,0
1/24/20,Washington,1,0
1/25/20,California,1,0
1/25/20,Illinois,1,0
1/25/20,Washington,1,0
1/26/20,Arizona,1,0
1/26/20,California,2,0
1/26/20,Illinois,1,0
1/26/20,Washington,1,0
1/27/20,Arizona,1,0
1/27/20,California,2,0
1/27/20,Illinois,1,0
1/27/20,Washington,1,0
1/28/20,Arizona,1,0
1/28/20,California,2,0
1/28/20,Illinois,1,0
1/28/20,Washington,1,0
1/29/20,Arizona,1,0
1/29/20,California,2,0
1/29/20,Illinois,1,0
1/29/20,Washington,1,0
1/30/20,Arizona,1,0
1/30/20,California,2,0
1/30/20,Illinois,2,0
1/30/20,Washington,1,0
1/31/20,Arizona,1,0
1/31/20,California,3,0
1/31/20,Illinois,2,0
1/31/20,Washington,1,0
2/1/20,Arizona,1,0
2/1/20,California,3,0
2/1/20,Illinois,2,0
2/1/20,Massachusetts,1,0
2/1/20,Washington,1,0
2/2/20,Arizona,1,0
2/2/20,California,6,0
2/2/20,Illinois,2,0
2/2/20,Massachusetts,1,0
2/2/20,Washington,1,0
2/3/20,Arizona,1,0
2/3/20,California,6,0
2/3/20,Illinois,2,0
2/3/20,Massachusetts,1,0
2/3/20,Washington,1,0
2/4/20,Arizona,1,0
2/4/20,California,6,0
2/4/20,Illinois,2,0
2/4/20,Massachusetts,1,0
2/4/20,Washington,1,0
2/5/20,Arizona,1,0
2/5/20,California,6,0
2/5/20,Illinois,2,0
2/5/20,Massachusetts,1,0
2/5/20,Washington,1,0
2/5/20,Wisconsin,1,0
2/6/20,Arizona,1,0
2/6/20,California,6,0
2/6/20,Illinois,2,0
2/6/20,Massachusetts,1,0
2/6/20,Washington,1,0
2/6/20,Wisconsin,1,0
2/7/20,Arizona,1,0
2/7/20,California,6,0
2/7/20,Illinois,2,0
2/7/20,Massachusetts,1,0
2/7/20,Washington,1,0
2/7/20,Wisconsin,1,0
2/8/20,Arizona,1,0
2/8/20,California,6,0
2/8/20,Illinois,2,0
2/8/20,Massachusetts,1,0
2/8/20,Washington,1,0
2/8/20,Wisconsin,1,0
2/9/20,Arizona,1,0
2/9/20,California,6,0
2/9/20,Illinois,2,0
2/9/20,Massachusetts,1,0
2/9/20,Washington,1,0
2/9/20,Wisconsin,1,0
2/10/20,Arizona,1,0
2/10/20,California,7,0
2/10/20,Illinois,2,0
2/10/20,Massachusetts,1,0
2/10/20,Washington,1,0
2/10/20,Wisconsin,1,0
2/11/20,Arizona,1,0
2/11/20,California,7,0
2/11/20,Illinois,2,0
2/11/20,Massachusetts,1,0
2/11/20,Washington,1,0
2/11/20,Wisconsin,1,0
2/12/20,Arizona,1,0
2/12/20,California,7,0
2/12/20,Illinois,2,0
2/12/20,Massachusetts,1,0
2/12/20,Texas,1,0
2/12/20,Washington,1,0
2/12/20,Wisconsin,1,0
2/13/20,Arizona,1,0
2/13/20,California,7,0
2/13/20,Illinois,2,0
2/13/20,Massachusetts,1,0
2/13/20,Texas,2,0
2/13/20,Washington,1,0
2/13/20,Wisconsin,1,0
2/14/20,Arizona,1,0
2/14/20,California,7,0
2/14/20,Illinois,2,0
2/14/20,Massachusetts,1,0
2/14/20,Texas,2,0
2/14/20,Washington,1,0
2/14/20,Wisconsin,1,0
2/15/20,Arizona,1,0
2/15/20,California,7,0
2/15/20,Illinois,2,0
2/15/20,Massachusetts,1,0
2/15/20,Texas,2,0
2/15/20,Washington,1,0
2/15/20,Wisconsin,1,0
2/16/20,Arizona,1,0
2/16/20,California,7,0
2/16/20,Illinois,2,0
2/16/20,Massachusetts,1,0
2/16/20,Texas,2,0
2/16/20,Washington,1,0
2/16/20,Wisconsin,1,0
2/17/20,Arizona,1,0
2/17/20,California,7,0
2/17/20,Illinois,2,0
2/17/20,Massachusetts,1,0
2/17/20,Nebraska,10,0
2/17/20,Texas,2,0
2/17/20,Washington,1,0
2/17/20,Wisconsin,1,0
2/18/20,Arizona,1,0
2/18/20,California,7,0
2/18/20,Illinois,2,0
2/18/20,Massachusetts,1,0
2/18/20,Nebraska,10,0
2/18/20,Texas,2,0
2/18/20,Washington,1,0
2/18/20,Wisconsin,1,0
2/19/20,Arizona,1,0
2/19/20,California,7,0
2/19/20,Illinois,2,0
2/19/20,Massachusetts,1,0
2/19/20,Nebraska,10,0
2/19/20,Texas,2,0
2/19/20,Washington,1,0
2/19/20,Wisconsin,1,0
2/20/20,Arizona,1,0
2/20/20,California,8,0
2/20/20,Illinois,2,0
2/20/20,Massachusetts,1,0
2/20/20,Nebraska,11,0
2/20/20,Texas,2,0
2/20/20,Washington,1,0
2/20/20,Wisconsin,1,0
2/21/20,Arizona,1,0
2/21/20,California,9,0
2/21/20,Illinois,2,0
